Latitude,Longitude,Name,Description,Icon,IconColor,Folder,HideNameUntilMouseOver
46.695319,-114.001022,167,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.696201,-113.994636,169,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.698404,-113.978671,174,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.690464,-114.03614,176,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.687817,-114.038693,188,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.689144,-114.012515,204,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.690468,-114.002938,207,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.692672,-113.986974,209,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.686498,-114.015069,213,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.686939,-113.995276,232,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.683852,-114.001023,267,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.679,-114.019536,272,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.679881,-113.979955,311,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.677236,-113.999108,322,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.678559,-113.989532,325,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.676554,-113.97241,339,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.669738,-114.020172,343,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.668415,-114.013151,348,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.665769,-114.015703,352,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.666651,-114.009321,354,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.705457,-113.977417,362,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.704578,-114.000409,367,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.708103,-113.974861,372,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.709424,-113.96528,375,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.710308,-113.975499,379,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.7156,-113.970386,399,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.716484,-113.980606,406,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.715604,-114.003602,412,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.720451,-113.968467,417,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.72707,-113.986991,451,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.701972,-114.048528,470,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.715639,-114.045944,472,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.700611,-114.045417,473,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.709583,-114.044722,481,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.706361,-114.047861,485,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.720778,-113.998389,486,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.692778,-113.996917,510,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.7105,-113.988944,524,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.69362,-113.977101,567,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.693906,-114.0113,577,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.71189068,-114.0273653,584,KD new targets 2021,203,Lime,Survey planning 2021/Kyle Doherty new pts 2021,True
46.69881641,-114.0437809,585,KD new targets 2021,203,Lime,Survey planning 2021/Kyle Doherty new pts 2021,True
46.69834387,-114.0359581,586,KD new targets 2021,203,Lime,Survey planning 2021/Kyle Doherty new pts 2021,True
46.67705958,-114.0273162,587,KD new targets 2021,203,Lime,Survey planning 2021/Kyle Doherty new pts 2021,True
46.67644288,-114.0140128,588,KD new targets 2021,203,Lime,Survey planning 2021/Kyle Doherty new pts 2021,True
46.6687468,-114.0191436,589,KD new targets 2021,203,Lime,Survey planning 2021/Kyle Doherty new pts 2021,True
